행정구역,2023년04월_계_총인구수,2023년04월_계_연령구간인구수,2023년04월_계_0~9세,2023년04월_계_10~19세,2023년04월_계_20~29세,2023년04월_계_30~39세,2023년04월_계_40~49세,2023년04월_계_50~59세,2023년04월_계_60~69세,2023년04월_계_70~79세,2023년04월_계_80~89세,2023년04월_계_90~99세,2023년04월_계_100세 이상
서울특별시 용산구 서빙고동(1117069000),"12,536","12,536",682,"1,395","1,613","1,398","2,217","2,196","1,599",718,617,96,5
서울특별시 용산구 보광동(1117070000),"12,583","12,583",311,625,"1,867","2,004","1,710","2,247","2,056","1,086",593,81,3
서울특별시 성동구 (1120000000),"279,980","279,980","17,642","18,639","41,850","45,333","41,804","44,807","38,485","20,142","10,023","1,211",44
서울특별시 성동구 왕십리제2동(1120052000),"16,251","16,251","1,134","1,089","2,245","2,775","2,407","2,627","2,237","1,140",521,76,0
서울특별시 성동구 왕십리도선동(1120053500),"26,385","26,385","2,004","1,697","4,154","4,370","3,985","4,290","3,278","1,612",867,125,3
서울특별시 성동구 마장동(1120054000),"21,971","21,971","1,041","1,505","4,165","3,171","2,734","3,485","3,175","1,702",893,98,2
서울특별시 성동구 사근동(1120055000),"12,100","12,100",355,878,"4,879","1,590","1,057","1,264",980,682,387,28,0
서울특별시 성동구 행당제1동(1120056000),"13,700","13,700",886,991,"2,140","2,187","2,094","2,177","1,751",934,466,68,6
서울특별시 성동구 행당제2동(1120057000),"22,990","22,990","1,597","1,907","2,684","3,395","3,663","3,972","3,026","1,773",866,104,3
서울특별시 성동구 응봉동(1120058000),"14,951","14,951",995,"1,544","1,705","2,005","2,670","2,463","1,809","1,104",590,64,2
서울특별시 성동구 금호1가동(1120059000),"14,989","14,989","1,125","1,083","1,596","2,325","2,541","2,336","2,181","1,152",578,70,2
서울특별시 성동구 금호2.3가동(1120061500),"22,108","22,108","1,585","1,317","2,539","3,816","3,566","3,541","3,087","1,679",862,109,7
서울특별시 성동구 금호4가동(1120062000),"14,244","14,244","1,229",941,"1,355","2,358","2,601","2,142","1,951","1,080",522,62,3
서울특별시 성동구 옥수동(1120064500),"25,503","25,503","2,334","1,638","2,496","4,521","4,442","3,856","3,408","1,794",885,125,4
서울특별시 성동구 성수1가제1동(1120065000),"15,636","15,636",897,958,"2,251","2,805","2,123","2,820","2,375",926,430,48,3
서울특별시 성동구 성수1가제2동(1120066000),"12,123","12,123",627,780,"1,803","2,318","1,793","1,859","1,670",837,392,44,0
서울특별시 성동구 성수2가제1동(1120067000),"14,972","14,972",638,759,"1,931","2,470","1,945","2,653","2,763","1,193",558,59,3
서울특별시 성동구 성수2가제3동(1120069000),"10,241","10,241",480,495,"1,742","1,813","1,388","1,620","1,487",789,384,40,3
서울특별시 성동구 송정동(1120072000),"9,969","9,969",418,499,"1,551","1,536","1,375","1,751","1,694",791,314,39,1
서울특별시 성동구 용답동(1120079000),"11,847","11,847",297,558,"2,614","1,878","1,420","1,951","1,613",954,508,52,2
서울특별시 광진구 (1121500000),"336,558","336,558","15,965","24,318","59,679","54,688","48,759","52,890","45,269","22,938","10,698","1,312",42
서울특별시 광진구 화양동(1121571000),"23,379","23,379",320,775,"10,283","4,667","2,093","2,003","1,683","1,002",495,57,1
서울특별시 광진구 군자동(1121573000),"19,286","19,286",679,992,"4,286","3,560","2,517","2,642","2,546","1,345",653,64,2
서울특별시 광진구 중곡제1동(1121574000),"15,435","15,435",603,689,"2,927","3,022","1,950","2,372","2,181","1,128",503,59,1
서울특별시 광진구 중곡제2동(1121575000),"20,817","20,817",884,"1,277","3,401","3,734","2,873","3,373","3,044","1,542",615,71,3
서울특별시 광진구 중곡제3동(1121576000),"15,920","15,920",631,855,"2,421","2,749","2,107","2,724","2,481","1,320",575,55,2
서울특별시 광진구 중곡제4동(1121577000),"27,874","27,874","1,094","1,710","4,031","4,068","3,681","5,098","4,694","2,392","1,006",96,4
서울특별시 광진구 능동(1121578000),"11,163","11,163",479,513,"2,243","2,503","1,610","1,400","1,309",713,357,35,1
서울특별시 광진구 광장동(1121581000),"34,062","34,062","2,556","5,415","3,864","3,326","6,934","5,986","3,390","1,527",897,161,6
서울특별시 광진구 자양제1동(1121582000),"22,089","22,089",796,"1,420","3,980","3,809","3,214","3,402","3,051","1,581",751,84,1
서울특별시 광진구 자양제2동(1121583000),"23,743","23,743","1,293","1,700","3,258","3,644","3,645","3,891","3,707","1,792",715,96,2
서울특별시 광진구 자양제3동(1121584000),"27,465","27,465","2,023","2,458","3,532","3,855","4,319","4,614","3,800","1,729",969,160,6
서울특별시 광진구 자양제4동(1121584700),"17,976","17,976",630,765,"2,985","2,980","2,267","2,831","3,073","1,627",740,77,1
서울특별시 광진구 구의제1동(1121585000),"23,364","23,364",906,"1,224","4,856","4,653","3,269","3,435","2,833","1,420",677,88,3
서울특별시 광진구 구의제2동(1121586000),"25,857","25,857","1,411","2,182","3,409","3,657","4,073","4,464","3,715","1,971",876,94,5
서울특별시 광진구 구의제3동(1121587000),"28,128","28,128","1,660","2,343","4,203","4,461","4,207","4,655","3,762","1,849",869,115,4
서울특별시 동대문구 (1123000000),"337,692","337,692","18,258","23,066","56,576","48,558","48,151","51,716","48,125","27,847","13,748","1,589",58
서울특별시 동대문구 용신동(1123053600),"35,393","35,393","1,693","1,739","6,688","6,432","4,923","5,080","4,725","2,572","1,383",151,7
서울특별시 동대문구 제기동(1123054500),"24,104","24,104",875,"1,298","4,488","3,111","2,746","3,651","3,873","2,546","1,356",153,7
서울특별시 동대문구 전농제1동(1123056000),"28,734","28,734","1,583","1,801","4,453","3,952","4,010","4,705","4,385","2,455","1,248",134,8
서울특별시 동대문구 전농제2동(1123057000),"18,121","18,121","1,039","1,609","2,005","2,102","2,749","3,175","2,876","1,593",886,84,3
서울특별시 동대문구 답십리제1동(1123060000),"28,067","28,067","2,404","1,944","3,845","4,817","4,735","4,068","3,497","1,777",861,111,8
서울특별시 동대문구 답십리제2동(1123061000),"27,699","27,699","1,629","1,790","3,280","4,218","3,877","4,628","4,418","2,459","1,254",145,1
서울특별시 동대문구 장안제1동(1123065000),"37,893","37,893","2,195","2,571","4,980","6,076","6,220","5,833","5,636","3,053","1,191",128,10
서울특별시 동대문구 장안제2동(1123066000),"32,449","32,449","2,516","2,850","3,735","4,714","5,702","4,997","4,473","2,399",947,114,2
서울특별시 동대문구 청량리동(1123070500),"18,739","18,739",664,982,"2,162","2,078","2,222","3,124","3,808","2,349","1,170",179,1
서울특별시 동대문구 회기동(1123071000),"10,496","10,496",325,760,"3,489","1,440","1,205","1,208",967,632,415,53,2
서울특별시 동대문구 휘경제1동(1123072000),"13,963","13,963",737,815,"3,733","2,124","1,640","1,885","1,517",967,477,65,3
서울특별시 동대문구 휘경제2동(1123073000),"24,493","24,493","1,010","2,003","5,930","3,049","3,219","3,528","2,997","1,816",844,95,2
서울특별시 동대문구 이문제1동(1123074000),"17,968","17,968",566,"1,261","5,094","2,081","2,068","2,514","2,097","1,377",822,85,3
서울특별시 동대문구 이문제2동(1123075000),"19,573","19,573","1,022","1,643","2,694","2,364","2,835","3,320","2,856","1,852",894,92,1
서울특별시 중랑구 (1126000000),"384,867","384,867","19,998","24,642","51,586","57,638","54,414","65,149","62,870","32,369","14,410","1,740",51
서울특별시 중랑구 면목제2동(1126052000),"23,786","23,786","1,030","1,380","3,020","3,358","3,309","4,502","4,079","2,059",927,120,2
서울특별시 중랑구 면목제4동(1126054000),"18,357","18,357",889,"1,157","2,264","2,453","2,781","3,179","3,017","1,806",732,75,4
서울특별시 중랑구 면목제5동(1126055000),"14,681","14,681","1,354",855,"1,605","2,477","2,411","2,371","2,105","1,007",450,45,1
서울특별시 중랑구 면목본동(1126056500),"32,948","32,948","1,255","1,670","4,905","5,293","4,517","5,930","5,223","2,803","1,214",135,3
서울특별시 중랑구 면목제7동(1126057000),"21,433","21,433","1,062","1,090","2,851","3,261","2,934","3,662","3,667","1,998",798,109,1
서울특별시 중랑구 면목제3.8동(1126057500),"24,698","24,698",980,"1,292","3,467","3,547","3,262","4,448","4,332","2,260","1,006",102,2
서울특별시 중랑구 상봉제1동(1126058000),"23,379","23,379","1,513","1,774","3,069","3,459","3,317","3,976","3,757","1,633",796,84,1
서울특별시 중랑구 상봉제2동(1126059000),"20,215","20,215",744,674,"4,051","4,710","2,487","2,910","2,637","1,333",578,85,6
서울특별시 중랑구 중화제1동(1126060000),"19,037","19,037",984,"1,206","2,416","3,087","2,646","2,981","3,261","1,714",678,63,1
서울특별시 중랑구 중화제2동(1126061000),"24,315","24,315",916,"1,023","3,409","3,645","3,132","4,422","4,435","2,172","1,066",95,0
서울특별시 중랑구 묵제1동(1126062000),"33,983","33,983","1,842","2,978","4,831","4,524","5,327","5,487","4,930","2,728","1,204",130,2
서울특별시 중랑구 묵제2동(1126063000),"18,354","18,354",840,"1,084","2,493","2,703","2,667","3,103","3,047","1,635",712,67,3
서울특별시 중랑구 망우본동(1126065500),"35,576","35,576","2,450","2,105","4,576","5,818","4,905","5,554","5,852","2,838","1,288",183,7
서울특별시 중랑구 망우제3동(1126066000),"15,882","15,882",604,918,"2,098","1,955","2,003","3,070","2,957","1,525",636,114,2
서울특별시 중랑구 신내1동(1126068000),"38,332","38,332","2,498","3,892","4,372","4,641","5,819","6,193","6,156","3,070","1,468",215,8
서울특별시 중랑구 신내2동(1126069000),"19,891","19,891","1,037","1,544","2,159","2,707","2,897","3,361","3,415","1,788",857,118,8
서울특별시 성북구 (1129000000),"429,751","429,751","25,252","36,218","65,469","56,919","65,233","70,419","57,925","33,093","17,015","2,153",55
서울특별시 성북구 성북동(1129052500),"16,156","16,156",663,"1,083","2,658","2,504","2,284","2,700","2,138","1,222",769,130,5
서울특별시 성북구 삼선동(1129055500),"22,489","22,489",841,"1,768","4,226","3,124","3,129","3,773","2,815","1,704",992,112,5
서울특별시 성북구 동선동(1129057500),"15,027","15,027",429,967,"4,576","2,412","1,786","1,877","1,435",939,535,69,2
서울특별시 성북구 돈암제1동(1129058000),"14,375","14,375",704,"1,128","1,852","1,883","1,888","2,602","2,300","1,283",659,74,2
서울특별시 성북구 돈암제2동(1129059000),"23,520","23,520","1,706","2,636","2,752","2,779","3,977","4,279","2,928","1,505",808,149,1
서울특별시 성북구 안암동(1129060000),"15,110","15,110",382,862,"5,507","2,028","1,456","1,933","1,456",898,514,71,3
