행정구역,2023년04월_계_총인구수,2023년04월_계_연령구간인구수,2023년04월_계_0~9세,2023년04월_계_10~19세,2023년04월_계_20~29세,2023년04월_계_30~39세,2023년04월_계_40~49세,2023년04월_계_50~59세,2023년04월_계_60~69세,2023년04월_계_70~79세,2023년04월_계_80~89세,2023년04월_계_90~99세,2023년04월_계_100세 이상
서울특별시 강동구 성내제3동(1174066000),"22,624","22,624","1,026","1,575","3,342","3,349","3,435","3,813","3,462","1,838",695,83,6
서울특별시 강동구 길동(1174068500),"44,809","44,809","2,102","2,685","6,474","7,212","6,559","7,086","7,404","3,743","1,332",203,9
서울특별시 강동구 둔촌제1동(1174069000),64,64,1,5,8,11,11,12,9,6,1,0,0
서울특별시 강동구 둔촌제2동(1174070000),"24,096","24,096","1,501","1,923","3,143","3,544","3,541","3,913","3,867","1,854",692,115,3
부산광역시  (2600000000),"3,311,402","3,311,402","202,417","265,215","389,186","394,343","491,842","540,194","560,239","312,297","138,519","16,714",436
부산광역시 중구 (2611000000),"39,478","39,478",947,"1,812","5,679","4,343","4,656","6,438","7,838","5,037","2,386",330,12
부산광역시 중구 중앙동(2611051000),"3,141","3,141",38,60,930,725,352,368,357,213,81,17,0
부산광역시 중구 동광동(2611052000),"2,544","2,544",62,94,236,237,270,423,573,414,206,27,2
부산광역시 중구 대청동(2611053000),"5,982","5,982",148,306,863,602,750,971,"1,190",733,353,64,2
부산광역시 중구 보수동(2611054500),"10,430","10,430",298,532,"1,564","1,088","1,216","1,723","2,046","1,252",633,74,4
부산광역시 중구 부평동(2611056000),"4,317","4,317",75,178,492,410,503,702,"1,000",639,274,43,1
부산광역시 중구 광복동(2611057000),930,930,23,40,80,76,108,166,232,129,64,11,1
부산광역시 중구 남포동(2611058000),837,837,8,25,40,61,81,165,255,145,51,6,0
부산광역시 중구 영주제1동(2611059000),"4,514","4,514",114,189,804,606,584,687,753,509,238,30,0
부산광역시 중구 영주제2동(2611060000),"6,783","6,783",181,388,670,538,792,"1,233","1,432","1,003",486,58,2
부산광역시 서구 (2614000000),"104,738","104,738","5,109","7,086","12,383","10,450","13,866","16,834","19,423","12,512","6,261",793,21
부산광역시 서구 동대신제1동(2614051000),"5,474","5,474",348,346,601,657,742,874,930,603,327,45,1
부산광역시 서구 동대신제2동(2614052000),"6,881","6,881",210,423,678,508,843,"1,184","1,415",990,564,66,0
부산광역시 서구 동대신제3동(2614053000),"7,521","7,521",368,516,"1,158",788,979,"1,107","1,281",830,430,59,5
부산광역시 서구 서대신제1동(2614054000),"14,918","14,918","1,210","1,230","1,720","1,935","2,400","2,190","2,052","1,386",698,97,0
부산광역시 서구 서대신제3동(2614056000),"7,582","7,582",440,774,817,733,"1,140","1,270","1,248",731,363,65,1
부산광역시 서구 서대신제4동(2614057000),"7,366","7,366",518,754,759,718,"1,131","1,197","1,228",668,345,47,1
부산광역시 서구 부민동(2614059000),"7,384","7,384",349,559,"1,476",839,950,"1,041","1,143",646,332,47,2
부산광역시 서구 아미동(2614061500),"6,073","6,073",75,218,655,419,630,999,"1,426","1,015",558,72,6
부산광역시 서구 초장동(2614063000),"4,006","4,006",85,144,355,284,473,664,910,661,393,37,0
부산광역시 서구 충무동(2614064000),"9,720","9,720",402,487,"1,360","1,037","1,209","1,606","1,825","1,199",534,58,3
부산광역시 서구 남부민제1동(2614065000),"4,653","4,653",113,146,378,390,485,810,"1,118",765,403,45,0
부산광역시 서구 남부민제2동(2614066000),"8,411","8,411",204,408,700,622,963,"1,441","1,944","1,418",644,65,2
부산광역시 서구 암남동(2614068000),"14,749","14,749",787,"1,081","1,726","1,520","1,921","2,451","2,903","1,600",670,90,0
부산광역시 동구 (2617000000),"85,629","85,629","3,712","4,577","9,443","10,181","11,174","13,757","15,907","10,726","5,495",639,18
부산광역시 동구 초량제1동(2617051000),"4,897","4,897",141,263,684,544,683,809,868,587,293,24,1
부산광역시 동구 초량제2동(2617052000),"5,400","5,400",118,235,554,499,644,919,"1,145",842,385,58,1
부산광역시 동구 초량제3동(2617053000),"12,889","12,889","1,206",799,"1,813","2,486","2,096","1,801","1,526",764,338,54,6
부산광역시 동구 초량제6동(2617055000),"5,545","5,545",120,346,487,420,648,939,"1,111",896,508,69,1
부산광역시 동구 수정제1동(2617056000),"3,992","3,992",159,287,443,358,554,635,707,546,270,33,0
부산광역시 동구 수정제2동(2617057000),"9,456","9,456",369,512,957,"1,122","1,135","1,532","1,867","1,286",617,58,1
부산광역시 동구 수정제4동(2617059000),"3,643","3,643",65,155,297,262,361,622,774,659,402,46,0
부산광역시 동구 수정제5동(2617060000),"4,974","4,974",108,289,447,343,563,833,"1,048",852,433,57,1
부산광역시 동구 좌천동(2617064500),"11,564","11,564",471,595,"1,277","1,355","1,473","1,868","2,171","1,501",783,66,4
부산광역시 동구 범일제1동(2617065000),"11,286","11,286",295,517,"1,122","1,112","1,316","1,866","2,488","1,582",890,97,1
부산광역시 동구 범일제2동(2617066000),"7,775","7,775",333,341,982,"1,126","1,007","1,345","1,500",760,340,41,0
부산광역시 동구 범일제5동(2617068000),"4,208","4,208",327,238,380,554,694,588,702,451,236,36,2
부산광역시 영도구 (2620000000),"107,454","107,454","4,411","6,836","10,272","9,760","13,823","17,763","22,181","14,658","6,963",768,19
부산광역시 영도구 남항동(2620053000),"10,541","10,541",350,470,975,976,"1,299","1,778","2,280","1,543",779,90,1
부산광역시 영도구 영선제1동(2620054000),"3,813","3,813",143,219,350,328,452,620,865,552,254,28,2
부산광역시 영도구 영선제2동(2620055000),"7,777","7,777",293,465,726,695,904,"1,291","1,594","1,178",563,68,0
부산광역시 영도구 신선동(2620058500),"7,669","7,669",153,375,579,502,852,"1,315","1,719","1,348",744,82,0
부산광역시 영도구 봉래제1동(2620059000),"6,417","6,417",253,377,574,606,829,981,"1,409",898,430,58,2
부산광역시 영도구 봉래제2동(2620060500),"7,593","7,593",470,499,651,807,"1,118","1,219","1,295",987,507,39,1
부산광역시 영도구 청학제1동(2620063000),"5,714","5,714",260,371,464,476,812,888,"1,185",820,389,49,0
부산광역시 영도구 청학제2동(2620064000),"17,255","17,255",803,"1,285","1,617","1,630","2,384","2,930","3,411","2,134",957,101,3
부산광역시 영도구 동삼제1동(2620065000),"26,492","26,492","1,118","1,977","2,928","2,468","3,399","4,532","5,348","3,114","1,439",164,5
부산광역시 영도구 동삼제2동(2620066000),"4,924","4,924",348,343,716,568,752,706,750,527,197,16,1
부산광역시 영도구 동삼제3동(2620067000),"9,259","9,259",220,455,692,704,"1,022","1,503","2,325","1,557",704,73,4
부산광역시 부산진구 (2623000000),"357,615","357,615","19,559","24,135","50,071","49,150","49,961","55,815","58,802","32,978","15,375","1,736",33
부산광역시 부산진구 부전제1동(2623051000),"15,890","15,890",577,538,"3,743","2,637","1,735","2,243","2,449","1,288",607,72,1
부산광역시 부산진구 부전제2동(2623052000),"10,840","10,840",580,476,"2,631","1,941","1,516","1,498","1,328",589,241,39,1
부산광역시 부산진구 연지동(2623054000),"25,413","25,413","2,163","2,228","2,230","3,259","4,088","3,855","4,062","2,324","1,089",113,2
부산광역시 부산진구 초읍동(2623055000),"21,027","21,027","1,060","1,492","1,874","2,080","2,887","3,454","4,004","2,755","1,272",146,3
부산광역시 부산진구 양정제1동(2623056000),"19,111","19,111",945,"1,320","2,491","2,358","2,627","3,359","3,198","1,809",901,100,3
부산광역시 부산진구 양정제2동(2623057000),"11,653","11,653",407,512,"2,808","2,149","1,514","1,456","1,425",880,455,46,1
부산광역시 부산진구 전포제1동(2623060000),"21,075","21,075","1,300","1,213","4,429","4,223","2,999","2,570","2,272","1,316",669,84,0
부산광역시 부산진구 전포제2동(2623061000),"23,298","23,298","1,169","1,292","3,474","3,805","3,171","3,265","3,618","2,290","1,098",114,2
부산광역시 부산진구 부암제1동(2623064000),"23,414","23,414","1,755","1,839","2,630","3,351","3,734","3,715","3,506","1,934",844,103,3
부산광역시 부산진구 부암제3동(2623066000),"16,785","16,785",862,"1,759","1,726","1,413","2,582","3,097","3,024","1,557",695,69,1
부산광역시 부산진구 당감제1동(2623067000),"21,867","21,867",858,"1,742","2,400","2,099","2,919","4,044","4,265","2,279","1,107",152,2
부산광역시 부산진구 당감제2동(2623068000),"9,950","9,950",628,657,"1,193","1,501","1,430","1,407","1,702",961,440,31,0
부산광역시 부산진구 당감제4동(2623070000),"10,883","10,883",567,826,"1,067","1,149","1,524","2,052","2,006","1,113",520,59,0
부산광역시 부산진구 가야제1동(2623071000),"18,247","18,247",638,"1,130","2,723","1,960","2,425","2,943","3,458","2,007",883,80,0
부산광역시 부산진구 가야제2동(2623072000),"18,168","18,168","1,146","1,457","2,045","2,180","2,547","2,867","3,151","1,912",769,89,5
부산광역시 부산진구 개금제1동(2623074000),"18,030","18,030","1,191","1,124","3,263","2,844","2,634","2,646","2,374","1,295",602,55,2
부산광역시 부산진구 개금제2동(2623075000),"10,368","10,368",443,742,"1,360","1,001","1,343","1,745","1,963","1,170",553,47,1
부산광역시 부산진구 개금제3동(2623076000),"27,442","27,442","1,474","2,239","3,014","2,997","3,762","4,827","5,411","2,451","1,102",162,3
부산광역시 부산진구 범천제1동(2623077000),"12,463","12,463",495,454,"2,580","2,567","1,562","1,674","1,662",903,501,64,1
부산광역시 부산진구 범천제2동(2623078000),"21,691","21,691","1,301","1,095","2,390","3,636","2,962","3,098","3,924","2,145","1,027",111,2
부산광역시 동래구 (2626000000),"273,034","273,034","19,077","25,504","29,622","32,096","43,914","43,723","43,237","24,437","10,153","1,236",35
부산광역시 동래구 수민동(2626051000),"31,394","31,394","2,228","2,699","3,293","3,898","4,825","5,027","5,122","2,910","1,232",155,5
부산광역시 동래구 복산동(2626052000),"8,855","8,855",256,523,839,769,"1,044","1,483","1,958","1,254",651,75,3
부산광역시 동래구 명륜동(2626054500),"26,404","26,404","2,465","3,605","2,456","2,905","5,360","4,193","2,990","1,603",743,83,1
부산광역시 동래구 온천제1동(2626055000),"23,649","23,649","1,422","1,381","3,607","4,080","3,643","3,620","3,089","1,800",902,99,6
부산광역시 동래구 온천제2동(2626056000),"24,421","24,421","2,709","2,362","2,193","3,276","4,191","3,353","3,327","1,934",920,151,5
부산광역시 동래구 온천제3동(2626057000),"37,518","37,518","2,252","2,674","4,966","4,836","5,398","6,204","6,206","3,467","1,363",148,4
부산광역시 동래구 사직제1동(2626058000),"10,277","10,277",670,"1,005","1,098","1,172","1,693","1,610","1,500","1,004",474,51,0
부산광역시 동래구 사직제2동(2626059000),"25,268","25,268","2,054","3,888","2,594","2,146","5,000","4,379","3,108","1,528",501,67,3
부산광역시 동래구 사직제3동(2626060000),"17,061","17,061","1,242","1,952","1,671","1,602","3,165","2,590","2,541","1,592",642,63,1
부산광역시 동래구 안락제1동(2626074000),"14,027","14,027",675,900,"1,433","1,518","1,870","2,269","2,890","1,697",690,84,1
부산광역시 동래구 안락제2동(2626075000),"26,232","26,232","1,513","2,583","2,697","2,762","3,967","4,454","4,713","2,502",924,115,2
부산광역시 동래구 명장제1동(2626076100),"13,765","13,765",877,"1,018","1,312","1,513","1,950","2,202","2,700","1,540",575,74,4
부산광역시 동래구 명장제2동(2626076200),"14,163","14,163",714,914,"1,463","1,619","1,808","2,339","3,093","1,606",536,71,0
부산광역시 남구 (2629000000),"256,257","256,257","14,751","22,391","32,911","26,704","38,619","41,292","41,304","25,612","11,391","1,248",34
부산광역시 남구 대연제1동(2629051000),"15,834","15,834",380,968,"3,811","1,755","1,873","2,202","2,290","1,656",822,77,0
부산광역시 남구 대연제3동(2629053000),"33,303","33,303","2,328","3,461","6,975","3,834","5,422","4,745","3,602","1,941",874,120,1
부산광역시 남구 대연제4동(2629054000),"11,916","11,916",898,861,"1,040","1,430","1,829","1,723","2,037","1,398",629,69,2
부산광역시 남구 대연제5동(2629055000),"16,805","16,805",852,"1,371","2,863","1,827","2,438","2,535","2,439","1,626",772,80,2
부산광역시 남구 대연제6동(2629056000),"14,879","14,879","1,476","1,678","1,485","1,768","2,704","2,256","1,867","1,106",480,56,3
부산광역시 남구 용호제1동(2629057000),"42,904","42,904","2,767","4,884","4,359","3,532","7,024","7,836","6,770","3,796","1,709",220,7
부산광역시 남구 용호제2동(2629058000),"19,008","19,008","1,417","1,941","1,720","2,073","3,210","2,917","3,120","1,842",673,94,1
부산광역시 남구 용호제3동(2629059000),"11,463","11,463",357,775,"1,142",958,"1,438","1,937","2,459","1,670",662,61,4
부산광역시 남구 용호제4동(2629060000),"7,908","7,908",366,570,766,845,"1,181","1,250","1,557",949,383,38,3
부산광역시 남구 용당동(2629061000),"7,986","7,986",429,699,944,741,"1,138","1,458","1,422",807,313,35,0
부산광역시 남구 감만제1동(2629062000),"9,836","9,836",424,732,936,963,"1,404","1,653","1,977","1,191",516,40,0
부산광역시 남구 감만제2동(2629063000),"6,666","6,666",217,423,604,534,878,"1,129","1,358","1,001",470,52,0
부산광역시 남구 우암동(2629064500),"12,576","12,576",473,848,"1,105","1,099","1,650","2,012","2,730","1,811",743,103,2
부산광역시 남구 문현제1동(2629068000),"11,435","11,435",523,963,"1,274",975,"1,640","2,131","2,050","1,280",559,40,0
부산광역시 남구 문현제2동(2629069000),"8,090","8,090",296,335,"1,139","1,267","1,062","1,186","1,324",896,527,53,5
부산광역시 남구 문현제3동(2629070000),"16,700","16,700","1,172","1,386","1,761","2,114","2,612","2,754","2,555","1,572",704,67,3
부산광역시 남구 문현제4동(2629071000),"8,948","8,948",376,496,987,989,"1,116","1,568","1,747","1,070",555,43,1
부산광역시 북구 (2632000000),"277,390","277,390","16,905","21,659","31,953","33,125","37,989","49,750","50,981","23,665","10,114","1,216",33
부산광역시 북구 구포제1동(2632051000),"15,897","15,897",879,739,"1,895","2,262","1,926","2,731","3,270","1,501",627,64,3
부산광역시 북구 구포제2동(2632052000),"24,265","24,265","1,106","1,591","2,903","2,898","3,154","4,582","4,872","2,184",885,86,4
부산광역시 북구 구포제3동(2632052100),"18,834","18,834",638,"1,301","2,430","1,759","2,398","3,906","3,947","1,736",647,71,1
부산광역시 북구 금곡동(2632053000),"36,500","36,500","1,725","2,693","3,743","3,554","4,455","6,790","7,270","3,839","2,161",266,4
부산광역시 북구 화명제1동(2632054100),"40,367","40,367","3,589","4,134","4,871","5,008","6,105","7,626","6,212","2,019",707,93,3
부산광역시 북구 화명제2동(2632054200),"17,466","17,466","1,229","1,392","2,201","2,246","2,242","3,296","2,936","1,261",581,80,2
부산광역시 북구 화명제3동(2632054300),"28,737","28,737","2,101","3,564","3,518","2,954","4,766","5,444","3,556","1,873",844,112,5
부산광역시 북구 덕천제1동(2632055000),"11,869","11,869",482,501,"1,390","1,557","1,368","1,923","2,501","1,389",677,78,3
부산광역시 북구 덕천제2동(2632056000),"11,502","11,502",327,534,"1,540","1,453","1,322","2,006","2,480","1,215",543,81,1
부산광역시 북구 덕천제3동(2632056100),"10,331","10,331",332,610,"1,200","1,004","1,332","1,753","2,136","1,312",589,61,2
부산광역시 북구 만덕제1동(2632057100),"16,618","16,618","1,475","1,008","1,555","2,943","2,420","2,389","2,922","1,404",459,42,1
부산광역시 북구 만덕제2동(2632057200),"26,912","26,912","2,052","2,307","2,767","3,429","4,069","4,281","4,882","2,246",773,106,0
부산광역시 북구 만덕제3동(2632057300),"18,092","18,092",970,"1,285","1,940","2,058","2,432","3,023","3,997","1,686",621,76,4
부산광역시 해운대구 (2635000000),"384,335","384,335","24,327","35,918","42,044","42,329","60,922","67,472","61,545","32,710","15,066","1,945",57
부산광역시 해운대구 우제1동(2635051000),"22,171","22,171","1,236","1,593","2,628","2,768","3,282","3,758","3,671","2,200",917,114,4
부산광역시 해운대구 우제2동(2635052000),"30,155","30,155","2,527","3,106","3,050","3,408","5,078","5,323","4,252","2,232","1,035",139,5
부산광역시 해운대구 우제3동(2635052500),"28,129","28,129","2,639","3,188","2,431","2,942","5,018","4,654","4,166","2,043",907,136,5
부산광역시 해운대구 중제1동(2635053000),"27,341","27,341","2,043","2,527","3,148","3,371","4,690","4,868","3,698","1,971",915,105,5
부산광역시 해운대구 중제2동(2635054000),"15,354","15,354","1,132","1,172","1,442","1,996","2,631","2,622","2,628","1,189",467,72,3
부산광역시 해운대구 좌제1동(2635055100),"17,559","17,559",982,"1,927","2,485","2,009","2,867","3,242","2,175","1,071",708,90,3
부산광역시 해운대구 좌제2동(2635055200),"31,067","31,067","1,774","2,616","4,406","4,396","4,587","5,552","4,409","2,010","1,142",170,5
부산광역시 해운대구 좌제3동(2635055300),"15,531","15,531",944,"1,595","1,677","1,550","2,242","2,847","2,460","1,277",802,135,2
부산광역시 해운대구 좌제4동(2635055400),"22,419","22,419","1,525","2,747","2,580","2,372","3,583","4,264","3,001","1,434",801,105,7
부산광역시 해운대구 송정동(2635056000),"9,548","9,548",394,502,936,"1,118","1,263","1,611","2,000","1,113",544,65,2
부산광역시 해운대구 반여제1동(2635057000),"34,605","34,605","2,347","3,941","3,903","3,574","5,706","6,346","5,096","2,516","1,041",132,3
부산광역시 해운대구 반여제2동(2635058000),"12,006","12,006",387,527,"1,150","1,331","1,547","2,134","2,548","1,592",713,76,1
부산광역시 해운대구 반여제3동(2635059000),"8,100","8,100",158,378,824,675,959,"1,490","1,904","1,115",542,55,0
부산광역시 해운대구 반여제4동(2635059500),"15,120","15,120","1,046","1,448","1,699","1,677","2,392","2,714","2,599","1,138",366,41,0
부산광역시 해운대구 반송제1동(2635061000),"13,050","13,050",288,592,"1,331","1,002","1,473","2,406","2,817","2,001","1,037",103,0
부산광역시 해운대구 반송제2동(2635062000),"22,086","22,086",685,"1,253","1,916","1,692","2,685","3,744","5,072","3,334","1,509",190,6
부산광역시 해운대구 재송제1동(2635065000),"36,772","36,772","3,295","4,963","3,779","3,894","7,497","5,692","4,476","2,279",789,105,3
부산광역시 해운대구 재송제2동(2635066000),"23,322","23,322",925,"1,843","2,659","2,554","3,422","4,205","4,573","2,195",831,112,3
부산광역시 사하구 (2638000000),"301,709","301,709","16,586","24,038","35,387","33,753","43,447","51,518","54,967","28,797","11,737","1,445",34
부산광역시 사하구 괴정제1동(2638051000),"18,562","18,562",817,"1,416","1,984","1,858","2,485","3,088","3,569","2,185","1,013",141,6
부산광역시 사하구 괴정제2동(2638052000),"15,335","15,335",909,"1,220","1,558","1,726","2,254","2,469","2,759","1,710",662,67,1
부산광역시 사하구 괴정제3동(2638053000),"11,906","11,906",408,691,"1,204","1,291","1,469","1,973","2,564","1,537",689,79,1
부산광역시 사하구 괴정제4동(2638054000),"14,513","14,513","1,092","1,225","1,483","1,760","2,263","2,244","2,493","1,361",527,62,3
부산광역시 사하구 당리동(2638055000),"25,001","25,001","1,211","2,084","2,803","2,593","3,530","4,280","4,876","2,485","1,009",129,1
부산광역시 사하구 하단제1동(2638056100),"21,561","21,561","1,016","1,545","3,489","2,867","2,928","3,416","3,638","1,835",734,90,3
부산광역시 사하구 하단제2동(2638056200),"25,233","25,233","1,197","1,911","5,266","3,092","3,316","3,875","3,818","1,925",750,79,4
부산광역시 사하구 신평제1동(2638057100),"16,043","16,043",898,"1,011","1,492","1,733","2,325","2,892","3,228","1,692",705,66,1
부산광역시 사하구 신평제2동(2638057200),"17,400","17,400","1,152","1,378","2,017","2,499","2,566","3,034","2,997","1,273",418,65,1
부산광역시 사하구 장림제1동(2638058000),"10,346","10,346",731,939,909,"1,200","1,874","1,710","1,659",950,343,31,0
부산광역시 사하구 장림제2동(2638059000),"26,419","26,419","1,506","2,334","3,013","3,088","4,157","4,633","4,635","2,232",742,75,4
부산광역시 사하구 다대제1동(2638060100),"37,282","37,282","2,276","3,671","3,905","3,651","5,759","6,836","6,438","3,173","1,389",182,2
부산광역시 사하구 다대제2동(2638060200),"26,227","26,227","1,339","2,160","2,821","2,276","3,568","4,952","5,262","2,564","1,110",173,2
부산광역시 사하구 구평동(2638061000),"12,702","12,702","1,276",992,"1,242","2,210","2,067","1,939","1,882",819,231,42,2
부산광역시 사하구 감천제1동(2638062000),"17,605","17,605",643,"1,264","1,768","1,555","2,278","3,155","3,911","2,093",841,96,1
부산광역시 사하구 감천제2동(2638063000),"5,574","5,574",115,197,433,354,608,"1,022","1,238",963,574,68,2
부산광역시 금정구 (2641000000),"219,484","219,484","10,482","16,533","29,406","22,564","29,247","36,701","39,878","22,882","10,464","1,299",28
부산광역시 금정구 서제1동(2641051000),"4,832","4,832",52,188,398,355,587,864,"1,248",721,384,35,0
부산광역시 금정구 서제2동(2641052000),"8,699","8,699",239,403,873,836,991,"1,592","2,168","1,113",441,43,0
부산광역시 금정구 서제3동(2641053000),"10,686","10,686",282,439,"1,002","1,015","1,207","1,934","2,572","1,516",660,58,1
부산광역시 금정구 금사회동동(2641055500),"7,491","7,491",198,303,644,680,859,"1,317","1,891","1,130",427,42,0
부산광역시 금정구 부곡제1동(2641057000),"7,874","7,874",243,404,677,714,967,"1,258","1,740","1,239",562,70,0
부산광역시 금정구 부곡제2동(2641058000),"17,474","17,474",838,"1,463","2,443","1,836","2,490","3,055","2,875","1,580",794,94,6
부산광역시 금정구 부곡제3동(2641059000),"15,222","15,222",917,"1,286","1,919","1,802","2,151","2,558","2,541","1,341",608,99,0
부산광역시 금정구 부곡제4동(2641059100),"12,278","12,278",431,711,"1,307","1,265","1,561","2,123","2,586","1,610",625,57,2
부산광역시 금정구 장전제1동(2641060000),"18,045","18,045",677,"1,310","6,074","1,851","2,057","2,111","2,041","1,257",588,76,3
부산광역시 금정구 장전제2동(2641061000),"25,942","25,942","2,238","2,555","2,987","3,221","4,545","3,669","3,408","2,124","1,025",168,2
부산광역시 금정구 선두구동(2641063500),"2,201","2,201",57,80,170,185,195,417,579,322,171,24,1
부산광역시 금정구 청룡노포동(2641066500),"9,637","9,637",436,669,893,899,"1,107","1,677","1,951","1,303",624,75,3
부산광역시 금정구 남산동(2641067000),"27,269","27,269",894,"1,759","3,969","2,651","3,125","4,936","5,276","3,043","1,450",160,6
부산광역시 금정구 구서제1동(2641068000),"19,064","19,064","1,101","1,841","2,198","2,089","2,865","3,370","3,142","1,596",776,85,1
부산광역시 금정구 구서제2동(2641069000),"31,800","31,800","1,835","3,010","3,791","3,103","4,398","5,675","5,640","2,866","1,276",203,3
부산광역시 금정구 금성동(2641070000),970,970,44,112,61,62,142,145,220,121,53,10,0
부산광역시 강서구 (2644000000),"142,983","142,983","18,146","14,317","11,779","24,302","28,217","17,107","17,656","7,837","3,135",478,9
부산광역시 강서구 대저1동(2644051000),"6,122","6,122",143,236,474,531,600,"1,006","1,605","1,017",446,63,1
부산광역시 강서구 대저2동(2644052000),"6,886","6,886",399,450,761,913,862,967,"1,393",726,359,56,0
부산광역시 강서구 강동동(2644053000),"4,037","4,037",71,111,249,301,308,704,"1,277",678,288,49,1
부산광역시 강서구 명지1동(2644053500),"53,964","53,964","9,251","5,539","4,159","11,844","11,515","4,925","4,406","1,681",559,82,3
부산광역시 강서구 명지2동(2644054500),"30,119","30,119","4,213","4,771","2,342","3,842","7,163","3,650","2,719","1,007",352,59,1
부산광역시 강서구 가락동(2644055000),"2,228","2,228",29,60,131,166,181,383,619,415,214,30,0
부산광역시 강서구 녹산동(2644056000),"35,429","35,429","3,918","3,013","3,355","6,309","7,117","4,680","4,483","1,772",682,99,1
부산광역시 강서구 가덕도동(2644058000),"4,198","4,198",122,137,308,396,471,792,"1,154",541,235,40,2
부산광역시 연제구 (2647000000),"203,081","203,081","12,637","16,038","22,965","25,165","30,720","32,659","33,904","19,430","8,606",934,23
부산광역시 연제구 거제제1동(2647061000),"28,287","28,287","2,029","3,406","3,058","2,577","4,953","4,852","3,760","2,408","1,132",105,7
부산광역시 연제구 거제제2동(2647062000),"12,523","12,523",904,"1,657","1,279","1,151","2,322","2,075","1,686",971,433,44,1
부산광역시 연제구 거제제3동(2647063000),"9,624","9,624",395,600,"1,031",991,"1,147","1,546","1,822","1,277",720,93,2
부산광역시 연제구 거제제4동(2647064000),"9,884","9,884",515,946,"1,042",952,"1,440","1,741","1,814",953,422,57,2
부산광역시 연제구 연산제1동(2647065000),"16,376","16,376","1,107","1,309","1,579","2,053","2,527","2,592","2,921","1,582",634,71,1
부산광역시 연제구 연산제2동(2647066000),"19,998","19,998","1,782","1,313","2,105","3,183","3,138","2,988","2,886","1,721",798,82,2
부산광역시 연제구 연산제3동(2647067000),"10,834","10,834",810,560,978,"1,657","1,573","1,606","1,974","1,145",495,35,1
부산광역시 연제구 연산제4동(2647068000),"15,744","15,744",521,859,"2,119","1,873","2,023","2,468","3,200","1,829",763,86,3
부산광역시 연제구 연산제5동(2647069000),"16,404","16,404",654,615,"3,207","3,138","2,262","2,343","2,261","1,298",578,47,1
부산광역시 연제구 연산제6동(2647070000),"16,147","16,147",895,952,"1,630","2,021","2,242","2,413","3,024","1,933",942,95,0
부산광역시 연제구 연산제8동(2647072000),"13,611","13,611","1,026","1,097","1,282","1,620","2,177","2,206","2,429","1,265",452,57,0
부산광역시 연제구 연산제9동(2647073000),"33,649","33,649","1,999","2,724","3,655","3,949","4,916","5,829","6,127","3,048","1,237",162,3
부산광역시 수영구 (2650000000),"175,426","175,426","9,392","11,527","22,880","23,809","24,568","26,671","29,105","18,310","8,103","1,032",29
부산광역시 수영구 남천제1동(2650066000),"15,891","15,891","1,035","1,313","1,879","2,075","2,326","2,654","2,350","1,433",711,112,3
부산광역시 수영구 남천제2동(2650067000),"12,724","12,724",841,"1,199","1,260","1,275","1,929","2,251","2,182","1,207",491,85,4
부산광역시 수영구 수영동(2650073000),"14,119","14,119",498,626,"1,547","1,593","1,734","2,105","2,877","2,061",974,102,2
부산광역시 수영구 망미제1동(2650074000),"26,926","26,926","1,498","1,926","2,603","3,039","3,730","4,061","5,099","3,284","1,475",208,3
부산광역시 수영구 망미제2동(2650075000),"10,260","10,260",539,735,"1,027","1,179","1,463","1,662","1,918","1,224",457,55,1
부산광역시 수영구 광안제1동(2650076000),"25,782","25,782","1,008","1,482","5,058","4,286","3,348","3,422","3,695","2,329","1,019",132,3
부산광역시 수영구 광안제2동(2650077000),"18,633","18,633",900,"1,252","2,834","2,797","2,779","2,660","2,685","1,798",830,89,9
부산광역시 수영구 광안제3동(2650078000),"9,585","9,585",201,371,"1,970","1,602","1,096","1,240","1,546","1,056",458,44,1
부산광역시 수영구 광안제4동(2650079000),"13,472","13,472",848,877,"1,573","1,970","2,027","2,069","2,052","1,307",682,66,1
부산광역시 수영구 민락동(2650080000),"28,034","28,034","2,024","1,746","3,129","3,993","4,136","4,547","4,701","2,611","1,006",139,2
부산광역시 사상구 (2653000000),"203,418","203,418","9,786","14,052","25,696","23,627","27,140","36,556","39,864","18,871","7,071",734,21
부산광역시 사상구 삼락동(2653058000),"5,470","5,470",190,265,494,516,583,"1,132","1,283",701,276,29,1
부산광역시 사상구 모라제1동(2653059100),"27,099","27,099","1,292","1,865","3,039","3,151","3,530","4,836","5,687","2,626",968,101,4
부산광역시 사상구 모라제3동(2653059300),"9,636","9,636",187,338,629,601,"1,033","1,742","2,464","1,725",832,83,2
부산광역시 사상구 덕포제1동(2653060000),"8,289","8,289",405,587,868,867,"1,119","1,554","1,640",880,338,31,0
부산광역시 사상구 덕포제2동(2653061000),"12,473","12,473",587,860,"1,447","1,304","1,620","2,294","2,711","1,211",387,51,1
부산광역시 사상구 괘법동(2653062000),"24,547","24,547",973,"1,025","4,904","3,896","2,893","4,019","4,382","1,801",585,66,3
부산광역시 사상구 감전동(2653064500),"12,587","12,587",378,576,"1,334","1,410","1,517","2,433","2,882","1,464",544,45,4
부산광역시 사상구 주례제1동(2653065000),"16,643","16,643","1,068","1,194","1,957","2,214","2,165","3,049","3,142","1,338",464,51,1
부산광역시 사상구 주례제2동(2653066000),"22,040","22,040","1,080","1,847","3,810","2,764","3,041","3,475","3,526","1,727",698,70,2
